<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379582>	"Ailuridae"	<http://identifiers.org/taxonomy/9649>	"Ailurus fulgens"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582146>	"Mormopterus eleryi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582143>	"Mormopterus halli"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/999964>	"Mormopterus jugularis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/27624>	"Mormopterus kalinowskii"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582109>	"Mormopterus kitcheneri"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582106>	"Mormopterus loriae"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582115>	"Mormopterus lumsdenae"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582107>	"Mormopterus norfolkensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582108>	"Mormopterus petersi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/258864>	"Mormopterus planiceps"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582141>	"Mormopterus ridei"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/524134>	"Mormopterus sp. BBvV-2008"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1115870>	"Myopterus daubentonii"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/27626>	"Nyctinomops aurispinosus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/258865>	"Nyctinomops femorosaccus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/27627>	"Nyctinomops laticaudatus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/124753>	"Nyctinomops macrotis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/436904>	"Otomops cf. formosus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/2218597>	"Otomops harrisoni"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/423244>	"Otomops madagascariensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/258867>	"Otomops martiensseni"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/436903>	"Otomops wroughtoni"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/27629>	"Promops centralis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1700841>	"Promops nasutus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/258869>	"Sauromys petrophilus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/302412>	"Tadarida aegyptiaca"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/1582105>	"Tadarida australis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/9438>	"Tadarida brasiliensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/565237>	"Tadarida fulminans"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/187006>	"Tadarida insignis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/2049285>	"Tadarida latouchei"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/556300>	"Tadarida sp. 7070"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/59483>	"Tadarida teniotis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9436>	"Molossidae"	<http://identifiers.org/taxonomy/27632>	"Tomopeas ravus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/118852>	"Mormoops blainvillei"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/59460>	"Mormoops megalophylla"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/2203464>	"Pteronotus alitonus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/94956>	"Pteronotus davyi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/280979>	"Pteronotus fuliginosus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/118855>	"Pteronotus gymnonotus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/118853>	"Pteronotus macleayii"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/59476>	"Pteronotus parnellii"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/118856>	"Pteronotus personatus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/280975>	"Pteronotus pusillus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/118854>	"Pteronotus quadridens"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/280976>	"Pteronotus rubiginosus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/1884720>	"Pteronotus sp."
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/1769917>	"Pteronotus sp. 3 BdT-2015"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59445>	"Mormoopidae"	<http://identifiers.org/taxonomy/1921178>	"Pteronotus sp. PV-RO-BRA"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/94959>	"Mystacinidae"	<http://identifiers.org/taxonomy/94961>	"Mystacina tuberculata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/155036>	"Myzopodidae"	<http://identifiers.org/taxonomy/155038>	"Myzopoda aurita"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/155036>	"Myzopodidae"	<http://identifiers.org/taxonomy/344224>	"Myzopoda schliemanni"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/155039>	"Chilonatalus micropus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/290568>	"Chilonatalus tumidifrons"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/290563>	"Natalus jamaicensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/290562>	"Natalus major"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/290564>	"Natalus saturatus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/1115701>	"Natalus sp. LMGC-2011"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/155040>	"Natalus stramineus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/59487>	"Natalus tumidirostris"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59446>	"Natalidae"	<http://identifiers.org/taxonomy/290566>	"Nyctiellus lepidus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/94957>	"Noctilionidae"	<http://identifiers.org/taxonomy/2491863>	"Noctilio albiventer"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/94957>	"Noctilionidae"	<http://identifiers.org/taxonomy/94962>	"Noctilio albiventris"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/94957>	"Noctilionidae"	<http://identifiers.org/taxonomy/409040>	"Noctilio albiventris PS1"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/94957>	"Noctilionidae"	<http://identifiers.org/taxonomy/409042>	"Noctilio albiventris PS2"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/94957>	"Noctilionidae"	<http://identifiers.org/taxonomy/94963>	"Noctilio leporinus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/249028>	"Nycteris arge"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/2448878>	"Nycteris cf. nana DMR-2017"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/178896>	"Nycteris grandis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/270766>	"Nycteris hispida"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/302404>	"Nycteris javanica"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/175523>	"Nycteris macrotis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/2448879>	"Nycteris sp. DMR-2017"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/59467>	"Nycteris thebaica"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/59447>	"Nycteridae"	<http://identifiers.org/taxonomy/479723>	"Nycteris tragata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148033>	"Ametrida centurio"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/2563022>	"Anoura cadenai"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/27642>	"Anoura caudifer"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/999941>	"Anoura cultrata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/2563023>	"Anoura fistulata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148021>	"Anoura geoffroyi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/409016>	"Anoura latidens"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/2563024>	"Anoura luismanueli"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/2563025>	"Anoura sp. A CCA-2019"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148034>	"Ardops nichollsi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148035>	"Ariteus flavescens"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/283491>	"Artibeus amplus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/51015>	"Artibeus anderseni"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40239>	"Artibeus aztecus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/416809>	"Artibeus cf. jamaicensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/410850>	"Artibeus cf. obscurus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40224>	"Artibeus cinereus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40225>	"Artibeus concolor"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/51010>	"Artibeus fimbriatus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/51011>	"Artibeus fraterculus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40226>	"Artibeus glaucus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/27654>	"Artibeus hartii"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/51012>	"Artibeus hirsutus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/51013>	"Artibeus inopinatus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/51014>	"Artibeus intermedius"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/9417>	"Artibeus jamaicensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/27634>	"Artibeus lituratus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40228>	"Artibeus obscurus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40229>	"Artibeus phaeotis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40230>	"Artibeus planirostris"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/406813>	"Artibeus schwartzi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/1002695>	"Artibeus sp. AVB-2011"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/1105487>	"Artibeus sp. BOLD:AAA2159"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/1105488>	"Artibeus sp. BOLD:AAA2160"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/1105489>	"Artibeus sp. BOLD:AAA2332"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/416810>	"Artibeus sp. FURB"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/887799>	"Artibeus sp. JRA-2010"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40240>	"Artibeus toltecus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/9421>	"Brachyphylla cavernarum"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/290570>	"Brachyphylla nana"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/348608>	"Carollia benkeithi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/138695>	"Carollia brevicauda"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/409058>	"Carollia brevicauda PS1"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/409059>	"Carollia brevicauda PS2"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/138696>	"Carollia castanea"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/1331094>	"Carollia manu"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/40233>	"Carollia perspicillata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/208969>	"Carollia sowelli"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/1380313>	"Carollia sp. 1 PMV-2013"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/138697>	"Carollia subrufa"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/27644>	"Centurio senex"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/33544>	"Chiroderma doriae"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/33545>	"Chiroderma improvisum"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/27646>	"Chiroderma salvini"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/27647>	"Chiroderma trinitatum"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/33546>	"Chiroderma villosum"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148049>	"Choeroniscus godmani"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/249003>	"Choeroniscus minor"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/999943>	"Choeroniscus sp. BOLD:AAC3416"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148050>	"Choeronycteris mexicana"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148086>	"Chrotopterus auritus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/409017>	"Dermanura bogotensis"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/594609>	"Dermanura incomitata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/563994>	"Dermanura rava"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/9430>	"Desmodus rotundus"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148087>	"Diaemus youngi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148089>	"Diphylla ecaudata"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148036>	"Ectophylla alba"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/290569>	"Erophylla bombifrons"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148092>	"Erophylla sezekorni"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/148071>	"Gardnerycteris crenulatum"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/2358194>	"Gardnerycteris keenani"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/2358195>	"Gardnerycteris koepckeae"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/177159>	"Glossophaga commissarisi"
<http://identifiers.org/taxonomy/9397>	"Chiroptera"	<http://identifiers.org/taxonomy/9415>	"Phyllostomidae"	<http://identifiers.org/taxonomy/177160>	"Glossophaga leachii"
